"number_of_rides","user_type","hour_of_day"
"31351","member","0"
"31840","casual","0"
"21298","casual","1"
"19082","member","1"
"13232","casual","2"
"10817","member","2"
"7338","casual","3"
"7429","member","3"
"8300","member","4"
"5944","casual","4"
"33536","member","5"
"11252","casual","5"
"26780","casual","6"
"100989","member","6"
"194943","member","7"
"49731","casual","7"
"69417","casual","8"
"248481","member","8"
"168024","member","9"
"65805","casual","9"
"77459","casual","10"
"147021","member","10"
"171293","member","11"
"98257","casual","11"
"196098","member","12"
"117644","casual","12"
"196086","member","13"
"123018","casual","13"
"196152","member","14"
"128705","casual","14"
"144311","casual","15"
"241171","member","15"
"166505","casual","16"
"330663","member","16"
"180562","casual","17"
"377936","member","17"
"154216","casual","18"
"294533","member","18"
"113801","casual","19"
"206300","member","19"
"144499","member","20"
"83699","casual","20"
"69748","casual","21"
"111348","member","21"
"61204","casual","22"
"80629","member","22"
"42866","casual","23"
"50581","member","23"
