"number_of_rides","user_type","trip_month"
"111018","member","1"
"22783","casual","1"
"170007","member","2"
"42560","casual","2"
"210967","member","3"
"73064","casual","3"
"271479","member","4"
"112933","casual","4"
"194428","casual","5"
"361483","member","5"
"392506","member","6"
"256055","casual","6"
"411977","member","7"
"270759","casual","7"
"273868","casual","8"
"420639","member","8"
"306029","casual","9"
"457474","member","9"
"190826","casual","10"
"388212","member","10"
"235743","member","11"
"85439","casual","11"
"135757","member","12"
"35888","casual","12"
