"user_type","end_station_name","end_lat","end_lng","number_of_rides"
"casual","Streeter Dr & Grand Ave","41.892278","-87.612043","40300"
"member","Kingsbury St & Kinzie St","41.88917683258","-87.6385057718","29680"
"member","Clinton St & Washington Blvd","41.88338","-87.64117","27799"
"member","Clinton St & Madison St","41.882751965685614","-87.64119029045105","25443"
"member","Clark St & Elm St","41.902973","-87.63128","24100"
"casual","DuSable Lake Shore Dr & Monroe St","41.880958","-87.616743","22646"
"casual","DuSable Lake Shore Dr & North Blvd","41.911722","-87.626804","22125"
"member","Wells St & Concord Ln","41.912133","-87.634656","20554"
"member","Clinton St & Jackson Blvd","41.878316611830684","-87.64098107814789","20230"
"member","Wells St & Elm St","41.903222","-87.634324","19889"
