"user_type","start_station_name","start_lat","start_lng","number_of_rides"
"casual","Streeter Dr & Grand Ave","41.892278","-87.612043","33079"
"member","Kingsbury St & Kinzie St","41.88917683258","-87.6385057718","23840"
"casual","DuSable Lake Shore Dr & Monroe St","41.880958","-87.616743","22070"
"member","Clinton St & Washington Blvd","41.88338","-87.64117","20560"
"member","Clark St & Elm St","41.902973","-87.63128","19675"
"member","Clinton St & Madison St","41.882751965685614","-87.64119029045105","19134"
"casual","DuSable Lake Shore Dr & North Blvd","41.911722","-87.626804","16936"
"member","Wells St & Concord Ln","41.912133","-87.634656","16287"
"member","University Ave & 57th St","41.791478","-87.599861","16129"
"member","Clinton St & Jackson Blvd","41.878316611830684","-87.64098107814789","15989"
